date,governor,inflation,kpif,konsumentpris,producentpris,energipris,oljepris,råvarupris,utbudsstörning,kron,växelkurs,tillväxt,resursutnyttjande,sysselsättning,konjunktur,finansiella,bnp,skuldsättning,bostadsmarknad,arbets,real,geopolitisk,handelskonflikt,handelshinder,tullar,protektionis,osäkerhet,krig,invasion,Total
2017-10-25,Henry Ohlsson,21,3,0,0,0,0,0,0,1,0,1,3,0,1,0,1,0,0,27,1,0,0,0,0,0,0,0,0,1248
2019-02-12,Martin Flodén,13,0,0,0,0,0,0,0,6,1,9,1,1,9,0,2,0,1,2,0,0,1,0,0,0,5,0,0,1146
2019-02-12,Cecilia Skingsley,9,1,0,0,0,0,0,0,0,0,4,0,0,2,2,0,0,1,2,0,0,0,0,0,0,3,0,0,768
2019-02-12,Kerstin af Jochnick,8,2,0,0,2,0,0,0,2,0,7,1,0,3,2,0,0,2,5,2,0,0,1,0,0,6,0,0,841
2019-02-12,Stefan Ingves,11,1,0,0,0,0,0,0,1,4,12,1,0,0,0,5,3,2,4,0,0,1,0,0,0,1,0,0,947
2019-02-12,Henry Ohlsson,13,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,799
2024-08-19,Aino Bunge,18,1,0,0,1,1,0,0,2,1,2,0,0,2,3,0,0,0,1,3,1,0,0,0,0,1,1,0,907
2024-08-19,Anna Breman,27,1,0,1,0,0,0,0,1,1,1,0,1,3,4,0,0,0,2,2,2,0,0,0,0,2,0,2,1096
2024-08-19,Anna Seim,13,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,3,0,0,0,0,0,2,0,0,576
2024-08-19,Per Jansson,19,1,0,0,4,0,0,0,2,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,1334
2024-08-19,Erik Thedéen,18,0,0,0,0,0,0,0,0,0,4,0,1,6,3,0,0,0,1,0,0,0,0,0,0,3,0,0,1491
2018-12-19,Cecilia Skingsley,12,2,0,0,2,0,0,0,0,0,1,3,0,8,7,1,0,1,4,0,0,0,0,0,0,0,0,0,718
2018-12-19,Kerstin af Jochnick,16,6,0,0,1,0,0,0,1,0,6,1,1,1,1,4,1,2,4,0,0,0,1,0,0,2,0,0,981
2018-12-19,Martin Flodén,14,0,0,0,0,1,0,0,1,0,3,3,1,2,0,2,0,0,3,0,0,0,0,0,0,2,0,0,650
2018-12-19,Henry Ohlsson,17,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,16,0,0,0,0,0,0,1,0,0,862
2018-12-19,Per Jansson,46,12,0,0,9,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1429
2018-12-19,Stefan Ingves,21,3,0,0,0,0,0,0,3,0,14,0,1,2,1,5,0,2,3,1,0,1,0,0,0,4,0,0,1408
2024-01-31,Martin Flodén,21,0,0,0,0,0,0,0,3,2,0,0,1,1,3,0,0,0,1,4,1,0,0,0,0,0,0,0,750
2024-01-31,Per Jansson,24,0,2,0,1,0,0,1,12,4,0,0,1,0,1,0,0,0,2,3,2,0,0,0,0,1,0,0,1247
2024-01-31,Aino Bunge,26,3,2,0,0,0,0,1,3,3,0,0,1,2,0,0,0,0,0,2,1,0,0,0,0,1,1,0,832
2024-01-31,Anna Breman,27,3,1,1,2,0,0,0,5,0,0,0,0,2,2,0,0,0,5,1,1,0,0,0,0,0,1,0,830
2024-01-31,Erik Thedéen,28,2,1,1,1,0,0,0,6,0,0,0,0,1,0,0,0,0,2,2,1,0,0,0,0,2,1,1,992
2020-02-11,Martin Flodén,18,3,0,0,4,0,0,0,3,0,0,1,0,5,2,0,0,0,1,0,0,0,0,0,0,1,0,0,756
2020-02-11,Cecilia Skingsley,14,2,0,0,5,0,0,1,0,0,3,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,865
2020-02-11,Henry Ohlsson,12,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,828
2020-02-11,Anna Breman,14,0,0,0,0,1,0,0,6,0,3,0,1,7,3,5,0,0,3,3,2,0,1,2,0,1,0,0,1641
2020-02-11,Per Jansson,40,10,0,0,4,0,0,0,4,2,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,1,0,0,1663
2020-02-11,Stefan Ingves,16,3,0,0,0,0,0,0,0,0,4,2,1,4,1,3,1,3,0,5,0,0,0,0,0,3,0,0,1214
2022-02-09,Per Jansson,55,17,5,0,14,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2035
2022-02-09,Henry Ohlsson,18,7,0,0,0,0,0,0,3,0,4,0,0,1,2,3,0,0,10,1,0,0,0,0,0,0,0,0,1041
2022-02-09,Cecilia Skingsley,22,3,0,0,6,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1169
2022-02-09,Anna Breman,26,9,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1198
2022-02-09,Martin Flodén,43,1,1,0,4,0,1,0,3,1,0,1,0,2,3,1,0,0,0,4,0,0,0,0,0,0,0,0,1262
2022-02-09,Stefan Ingves,28,5,0,0,3,0,0,1,3,0,3,0,1,0,1,3,0,0,2,0,0,0,0,0,0,1,0,0,1347
2019-10-23,Martin Flodén,25,2,0,0,0,0,0,0,0,3,3,1,0,14,0,0,0,0,5,1,0,1,1,0,0,1,0,0,1175
2019-10-23,Cecilia Skingsley,9,3,0,0,0,0,0,0,0,0,5,1,0,4,1,1,0,0,5,0,0,0,0,0,1,3,0,0,1225
2019-10-23,Henry Ohlsson,13,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,22,2,0,0,0,0,0,3,1,0,1408
2019-10-23,Per Jansson,48,13,0,0,7,0,0,0,0,1,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1341
2019-10-23,Stefan Ingves,21,2,0,0,0,0,0,0,5,1,7,2,0,6,0,4,0,2,13,6,0,2,0,0,0,6,0,0,1427
2020-06-30,Per Jansson,53,8,0,0,5,0,0,0,0,0,0,2,5,0,2,4,1,0,3,1,0,0,0,0,1,3,0,0,2070
2020-06-30,Anna Breman,10,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1131
2020-06-30,Martin Flodén,8,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,1,0,1,1,0,0,0,0,0,1,0,0,1080
2020-06-30,Cecilia Skingsley,8,0,0,0,0,0,0,0,1,0,1,0,0,0,6,0,0,0,1,0,0,0,0,0,0,1,0,0,952
2020-06-30,Henry Ohlsson,8,1,2,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,11,2,0,0,0,0,0,0,0,0,986
2020-06-30,Stefan Ingves,8,0,0,0,0,0,0,0,0,0,1,0,0,0,3,5,2,0,0,0,0,0,0,0,0,1,0,0,1090
2021-02-09,Cecilia Skingsley,9,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,649
2021-02-09,Per Jansson,51,10,0,0,6,0,0,0,4,0,0,0,0,0,2,0,0,0,3,2,0,0,0,0,0,2,0,0,1472
2021-02-09,Henry Ohlsson,8,3,1,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,11,0,0,0,0,0,0,0,0,0,1201
2021-02-09,Martin Flodén,13,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1290
2021-02-09,Stefan Ingves,10,2,0,0,2,0,0,0,2,0,3,0,0,0,2,3,0,0,7,0,0,0,0,0,0,1,0,0,1141
2021-02-09,Anna Breman,14,0,0,0,2,0,0,0,0,0,2,0,1,1,2,2,1,2,2,0,0,0,0,0,0,0,0,0,1126
2024-05-07,Anna Breman,32,3,0,0,0,0,0,0,5,4,1,0,1,3,1,0,0,0,2,2,1,0,0,0,0,0,0,0,850
2024-05-07,Aino Bunge,16,2,0,0,0,0,0,1,4,1,0,0,2,2,0,0,0,0,3,2,1,0,0,0,0,1,0,0,702
2024-05-07,Per Jansson,31,1,1,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1355
2024-05-07,Martin Flodén,16,0,2,0,0,0,2,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,4,0,0,828
2024-05-07,Erik Thedéen,54,4,1,0,0,0,1,0,3,5,2,0,2,6,0,0,1,2,4,1,1,0,0,0,0,6,1,0,1709
