date,governor,inflation,ränta ,sysselsättning,pris ,växelkurs,skuld,belåning,Total
2021-04-26,Anna Breman,11,2,0,0,0,4,1,1079
2021-04-26,Martin Flodén,14,0,0,0,0,0,0,866
2021-04-26,Henry Ohlsson,9,0,0,0,0,0,0,1143
2021-04-26,Stefan Ingves,9,0,2,0,0,3,0,1522
2018-07-02,Kerstin af Jochnick,9,0,0,0,0,2,0,943
2018-07-02,Martin Flodén,35,1,0,0,6,0,0,1467
2018-07-02,Per Jansson,50,0,1,0,3,0,0,1744
2018-07-02,Cecilia Skingsley,8,1,0,0,0,1,0,1126
2018-07-02,Henry Ohlsson,18,2,0,0,0,0,0,1226
2018-07-02,Stefan Ingves,21,1,1,0,1,2,0,1154
2017-07-03,Kerstin af Jochnick,9,0,1,0,1,1,0,1010
2017-07-03,Per Jansson,26,0,1,0,3,0,0,1226
2017-07-03,Martin Flodén,18,0,1,0,0,0,0,959
2017-07-03,Cecilia Skingsley,17,1,0,0,1,2,0,866
2017-07-03,Stefan Ingves,23,0,1,0,2,6,0,1755
2019-07-02,Per Jansson,35,1,0,0,0,0,0,1128
2019-07-02,Kerstin af Jochnick,5,0,0,0,0,2,0,1107
2019-07-02,Martin Flodén,25,0,0,0,0,0,0,866
2019-07-02,Cecilia Skingsley,16,0,1,0,3,0,0,876
2019-07-02,Stefan Ingves,20,0,1,0,10,4,0,2395
2023-11-22,Anna Breman,33,1,2,0,2,0,0,1217
2023-11-22,Martin Flodén,37,0,1,0,1,1,0,1628
2023-11-22,Aino Bunge,21,0,1,0,1,0,0,956
2023-11-22,Per Jansson,27,0,0,0,1,0,0,1443
2023-11-22,Erik Thedéen,36,0,2,0,1,0,0,1186
2022-04-27,Per Jansson,63,0,0,1,0,0,0,1913
2022-04-27,Cecilia Skingsley,24,0,0,0,1,1,0,1230
2022-04-27,Henry Ohlsson,20,2,0,0,0,0,0,959
2022-04-27,Martin Flodén,41,3,1,0,0,1,0,1416
2022-04-27,Anna Breman,39,2,0,0,0,3,0,1437
2022-04-27,Stefan Ingves,37,2,0,0,0,0,0,1311
2022-11-23,Per Jansson,43,2,1,0,0,0,0,1528
2022-11-23,Martin Flodén,24,0,0,0,2,0,0,1069
2022-11-23,Henry Ohlsson,22,3,0,0,0,0,0,832
2022-11-23,Anna Breman,40,1,0,0,1,0,0,1481
2022-11-23,Stefan Ingves,32,1,0,0,0,1,0,2333
